Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 64, 41, 106
4, 512, 191, 330
4, 4096, 2174, 2243
4, 32768, 16301, 17121
4, 262144, 89574, 129263
4, 2097152, 778508, 1130288
8, 64, 39, 109
8, 512, 270, 351
8, 4096, 2917, 2219
8, 32768, 20918, 17602
8, 262144, 131330, 140458
8, 2097152, 1003224, 1097462
12, 64, 48, 111
12, 512, 397, 336
12, 4096, 3207, 2354
12, 32768, 22832, 16525
12, 262144, 173448, 153274
12, 2097152, 1337113, 1193768
16, 64, 68, 119
16, 512, 580, 379
16, 4096, 4474, 2388
16, 32768, 33132, 18662
16, 262144, 242777, 158688
16, 2097152, 2125293, 1214032
32, 64, 147, 126
32, 512, 1134, 436
32, 4096, 8310, 2837
32, 32768, 63404, 21679
32, 262144, 482055, 162947
32, 2097152, 3945833, 1423430
