Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 64, 32, 130
4, 512, 198, 340
4, 4096, 2348, 2203
4, 32768, 15995, 17136
4, 262144, 89369, 135840
4, 2097152, 420385, 1075423
8, 64, 43, 108
8, 512, 216, 332
8, 4096, 2425, 2196
8, 32768, 21125, 18046
8, 262144, 117848, 134883
8, 2097152, 890299, 1128520
12, 64, 74, 117
12, 512, 383, 358
12, 4096, 3785, 2377
12, 32768, 30690, 18879
12, 262144, 194924, 134789
12, 2097152, 1559638, 1153149
16, 64, 56, 112
16, 512, 555, 380
16, 4096, 4104, 2461
16, 32768, 32243, 18816
16, 262144, 240547, 151783
16, 2097152, 1843666, 1196734
32, 64, 117, 117
32, 512, 1519, 394
32, 4096, 7996, 2644
32, 32768, 62172, 23421
32, 262144, 455551, 166336
32, 2097152, 3529740, 1300334
