Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 64, 25, 108
4, 512, 209, 334
4, 4096, 2160, 2249
4, 32768, 15191, 16694
4, 262144, 91711, 137632
4, 2097152, 796939, 1098621
8, 64, 30, 109
8, 512, 257, 346
8, 4096, 3429, 2309
8, 32768, 22109, 17269
8, 262144, 158643, 144206
8, 2097152, 1217467, 1163600
12, 64, 61, 110
12, 512, 498, 367
12, 4096, 4152, 2288
12, 32768, 31417, 18446
12, 262144, 198136, 146194
12, 2097152, 1561100, 1154531
16, 64, 63, 116
16, 512, 516, 376
16, 4096, 8377, 2636
16, 32768, 34113, 18548
16, 262144, 225121, 157397
16, 2097152, 1780915, 1191763
32, 64, 129, 129
32, 512, 1080, 406
32, 4096, 7381, 2838
32, 32768, 63030, 21431
32, 262144, 447827, 173032
32, 2097152, 3753126, 1403088
