Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 64, 27, 114
4, 512, 110, 336
4, 4096, 1481, 2177
4, 32768, 11566, 16877
4, 262144, 58288, 134486
4, 2097152, 413423, 1075420
8, 64, 60, 109
8, 512, 218, 335
8, 4096, 1760, 2230
8, 32768, 17871, 16955
8, 262144, 117746, 134137
8, 2097152, 882786, 1099619
12, 64, 47, 116
12, 512, 329, 352
12, 4096, 2592, 2296
12, 32768, 26329, 18003
12, 262144, 180455, 144644
12, 2097152, 1328825, 1079801
16, 64, 83, 117
16, 512, 522, 369
16, 4096, 4794, 2447
16, 32768, 35589, 19233
16, 262144, 276072, 151119
16, 2097152, 1862991, 1065623
32, 64, 149, 122
32, 512, 975, 426
32, 4096, 7753, 2504
32, 32768, 58938, 23255
32, 262144, 445823, 169289
32, 2097152, 3779718, 1286447
