Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 64, 36, 116
4, 512, 207, 344
4, 4096, 2050, 2164
4, 32768, 13751, 16886
4, 262144, 77233, 136021
4, 2097152, 568280, 1060418
8, 64, 53, 110
8, 512, 273, 351
8, 4096, 2862, 2227
8, 32768, 16509, 17676
8, 262144, 125250, 140240
8, 2097152, 936233, 1112276
12, 64, 63, 110
12, 512, 437, 358
12, 4096, 3898, 2420
12, 32768, 26680, 18320
12, 262144, 195621, 139356
12, 2097152, 1639605, 1147443
16, 64, 79, 120
16, 512, 656, 369
16, 4096, 4761, 2490
16, 32768, 35865, 18727
16, 262144, 250666, 151246
16, 2097152, 1928342, 1155603
32, 64, 143, 111
32, 512, 1175, 403
32, 4096, 9155, 2605
32, 32768, 66549, 19796
32, 262144, 507251, 149680
32, 2097152, 3746082, 1219894
