Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 64, 26, 103
4, 512, 137, 332
4, 4096, 973, 2176
4, 32768, 12100, 16877
4, 262144, 60574, 134484
4, 2097152, 461595, 1075396
8, 64, 53, 114
8, 512, 360, 334
8, 4096, 3594, 2396
8, 32768, 27998, 17618
8, 262144, 174119, 142425
8, 2097152, 1252857, 1153259
12, 64, 73, 103
12, 512, 433, 348
12, 4096, 3100, 2258
12, 32768, 27360, 18654
12, 262144, 210923, 143245
12, 2097152, 1355285, 1148902
16, 64, 81, 119
16, 512, 619, 364
16, 4096, 5276, 2306
16, 32768, 44701, 18974
16, 262144, 279019, 151928
16, 2097152, 2138882, 1189002
32, 64, 145, 130
32, 512, 1116, 423
32, 4096, 9414, 2524
32, 32768, 73595, 20552
32, 262144, 508539, 164667
32, 2097152, 3841223, 1351740
