Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 64, 36, 120
4, 512, 163, 354
4, 4096, 1513, 2231
4, 32768, 14598, 17419
4, 262144, 76826, 134745
4, 2097152, 524428, 1089247
8, 64, 39, 127
8, 512, 265, 343
8, 4096, 2012, 2243
8, 32768, 19279, 17006
8, 262144, 129945, 135778
8, 2097152, 894951, 1105590
12, 64, 75, 137
12, 512, 421, 380
12, 4096, 4127, 2274
12, 32768, 33983, 17205
12, 262144, 215746, 147044
12, 2097152, 1547342, 1156077
16, 64, 61, 121
16, 512, 433, 360
16, 4096, 3428, 2394
16, 32768, 33740, 18295
16, 262144, 223983, 142334
16, 2097152, 1761940, 1102835
32, 64, 116, 135
32, 512, 923, 396
32, 4096, 11661, 2765
32, 32768, 65732, 21910
32, 262144, 488092, 168983
32, 2097152, 3878901, 1437713
