Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 64, 26, 114
4, 512, 175, 336
4, 4096, 1920, 2203
4, 32768, 17422, 16994
4, 262144, 90641, 134855
4, 2097152, 686064, 1102142
8, 64, 32, 114
8, 512, 280, 339
8, 4096, 3172, 2184
8, 32768, 23647, 16769
8, 262144, 144846, 140813
8, 2097152, 1116590, 1127288
12, 64, 44, 109
12, 512, 417, 317
12, 4096, 4173, 2468
12, 32768, 31327, 18171
12, 262144, 216053, 138434
12, 2097152, 1675707, 1248541
16, 64, 73, 119
16, 512, 615, 386
16, 4096, 4711, 2511
16, 32768, 38851, 18471
16, 262144, 273253, 170603
16, 2097152, 1797232, 1178018
32, 64, 122, 116
32, 512, 980, 382
32, 4096, 8157, 2887
32, 32768, 66794, 22145
32, 262144, 491502, 172027
32, 2097152, 3905766, 1346518
