Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 64, 20, 117
4, 512, 174, 337
4, 4096, 1971, 2165
4, 32768, 12806, 17115
4, 262144, 91295, 134644
4, 2097152, 668533, 1088494
8, 64, 36, 109
8, 512, 224, 343
8, 4096, 2671, 2214
8, 32768, 19220, 17955
8, 262144, 121791, 137619
8, 2097152, 911758, 1143867
12, 64, 51, 117
12, 512, 391, 363
12, 4096, 3889, 2447
12, 32768, 29668, 18449
12, 262144, 207333, 132207
12, 2097152, 1585377, 1189308
16, 64, 55, 137
16, 512, 524, 367
16, 4096, 5009, 2414
16, 32768, 40374, 18796
16, 262144, 271046, 146811
16, 2097152, 2113881, 1223109
32, 64, 118, 117
32, 512, 888, 389
32, 4096, 7588, 2594
32, 32768, 63218, 20879
32, 262144, 446745, 172458
32, 2097152, 3562242, 1328090
