Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 64, 33, 114
4, 512, 239, 329
4, 4096, 2397, 2171
4, 32768, 19111, 17692
4, 262144, 102247, 140435
4, 2097152, 771511, 1066913
8, 64, 37, 113
8, 512, 275, 348
8, 4096, 3119, 2219
8, 32768, 21364, 17836
8, 262144, 128760, 143560
8, 2097152, 985852, 1115493
12, 64, 46, 112
12, 512, 346, 358
12, 4096, 3620, 2382
12, 32768, 28034, 17798
12, 262144, 181855, 140802
12, 2097152, 1325296, 1082039
16, 64, 70, 119
16, 512, 522, 375
16, 4096, 4268, 2566
16, 32768, 35519, 19347
16, 262144, 263244, 154699
16, 2097152, 1967228, 1156783
32, 64, 130, 118
32, 512, 902, 397
32, 4096, 7153, 2718
32, 32768, 61658, 21794
32, 262144, 457521, 158327
32, 2097152, 3495927, 1385943
