Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 64, 27, 114
4, 512, 110, 335
4, 4096, 1596, 2161
4, 32768, 9619, 16864
4, 262144, 61025, 134366
4, 2097152, 414676, 1074533
8, 64, 33, 106
8, 512, 282, 326
8, 4096, 1943, 2235
8, 32768, 22734, 17432
8, 262144, 129092, 144607
8, 2097152, 1000359, 1107551
12, 64, 56, 113
12, 512, 383, 358
12, 4096, 3796, 2242
12, 32768, 27423, 18022
12, 262144, 197632, 149600
12, 2097152, 1536761, 1191509
16, 64, 67, 121
16, 512, 438, 372
16, 4096, 3472, 2283
16, 32768, 29277, 18963
16, 262144, 226456, 148352
16, 2097152, 1776213, 1304577
32, 64, 113, 112
32, 512, 1020, 403
32, 4096, 8239, 2697
32, 32768, 64220, 20399
32, 262144, 479013, 158289
32, 2097152, 3783398, 1385536
