Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 64, 22, 116
4, 512, 111, 336
4, 4096, 1616, 2172
4, 32768, 12678, 16868
4, 262144, 59353, 134366
4, 2097152, 432066, 1074538
8, 64, 48, 112
8, 512, 308, 344
8, 4096, 3176, 2206
8, 32768, 26220, 17744
8, 262144, 157339, 145268
8, 2097152, 1220771, 1153128
12, 64, 51, 112
12, 512, 409, 347
12, 4096, 3850, 2194
12, 32768, 30088, 17294
12, 262144, 207996, 147165
12, 2097152, 1428242, 1119314
16, 64, 57, 115
16, 512, 622, 356
16, 4096, 4496, 2439
16, 32768, 46814, 19515
16, 262144, 254330, 153403
16, 2097152, 1849068, 1211777
32, 64, 123, 117
32, 512, 923, 406
32, 4096, 11358, 2723
32, 32768, 65112, 21374
32, 262144, 474494, 171222
32, 2097152, 3881002, 1301160
