Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 512, 189, 193
4, 4096, 1494, 1022
4, 32768, 18234, 7359
4, 262144, 103761, 60790
4, 2097152, 761597, 471028
8, 512, 298, 166
8, 4096, 2398, 991
8, 32768, 23795, 8886
8, 262144, 155960, 56533
8, 2097152, 1228992, 507437
12, 512, 408, 230
12, 4096, 3634, 1222
12, 32768, 34038, 7915
12, 262144, 212002, 75635
12, 2097152, 1646312, 566847
16, 512, 537, 203
16, 4096, 4329, 1341
16, 32768, 39701, 10778
16, 262144, 265856, 87069
16, 2097152, 2088527, 664111
