Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 512, 197, 183
4, 4096, 1538, 1034
4, 32768, 24616, 8015
4, 262144, 107242, 61757
4, 2097152, 787021, 476451
8, 512, 311, 196
8, 4096, 2393, 1091
8, 32768, 24917, 8690
8, 262144, 157541, 61791
8, 2097152, 1231059, 506613
12, 512, 414, 265
12, 4096, 3265, 1204
12, 32768, 27121, 8483
12, 262144, 213689, 73638
12, 2097152, 1686820, 573520
16, 512, 539, 222
16, 4096, 4557, 1320
16, 32768, 40521, 10564
16, 262144, 266962, 74977
16, 2097152, 2125865, 641276
