Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 512, 194, 214
4, 4096, 1516, 1029
4, 32768, 12465, 7565
4, 262144, 105524, 59271
4, 2097152, 765193, 456967
8, 512, 360, 189
8, 4096, 3221, 1156
8, 32768, 25439, 7658
8, 262144, 159307, 71145
8, 2097152, 1190719, 465108
12, 512, 495, 214
12, 4096, 3208, 1074
12, 32768, 34214, 9131
12, 262144, 209348, 64704
12, 2097152, 1819805, 567710
16, 512, 620, 199
16, 4096, 4910, 1439
16, 32768, 38613, 10333
16, 262144, 307833, 86753
16, 2097152, 2248175, 626101
