Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 512, 193, 180
4, 4096, 1504, 990
4, 32768, 18363, 7626
4, 262144, 105732, 58551
4, 2097152, 773479, 488301
8, 512, 750, 231
8, 4096, 2574, 1023
8, 32768, 23294, 8450
8, 262144, 158101, 62756
8, 2097152, 1240990, 490948
12, 512, 408, 207
12, 4096, 3190, 1202
12, 32768, 27110, 8963
12, 262144, 219763, 64342
12, 2097152, 1639072, 568903
16, 512, 520, 181
16, 4096, 4165, 1356
16, 32768, 33384, 9541
16, 262144, 272331, 70606
16, 2097152, 2088701, 611003
