Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 512, 192, 159
4, 4096, 1500, 910
4, 32768, 18733, 7765
4, 262144, 101942, 62729
4, 2097152, 781305, 445265
8, 512, 300, 203
8, 4096, 2379, 1023
8, 32768, 25712, 7605
8, 262144, 155621, 71295
8, 2097152, 1208581, 554241
12, 512, 410, 204
12, 4096, 3485, 1192
12, 32768, 31755, 8151
12, 262144, 215095, 65362
12, 2097152, 1633350, 631172
16, 512, 515, 218
16, 4096, 4060, 1238
16, 32768, 33235, 9664
16, 262144, 268912, 81735
16, 2097152, 2086654, 686840
