Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 512, 189, 174
4, 4096, 1499, 1044
4, 32768, 12552, 7754
4, 262144, 102034, 61682
4, 2097152, 758377, 477586
8, 512, 302, 195
8, 4096, 2327, 1122
8, 32768, 19377, 8341
8, 262144, 159886, 65706
8, 2097152, 1206200, 545605
12, 512, 408, 218
12, 4096, 4006, 1287
12, 32768, 31313, 9011
12, 262144, 211266, 65732
12, 2097152, 1643920, 568632
16, 512, 648, 230
16, 4096, 4026, 1455
16, 32768, 33688, 9496
16, 262144, 266023, 78039
16, 2097152, 2068704, 582456
