Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 512, 140, 199
4, 4096, 1039, 1033
4, 32768, 14851, 7485
4, 262144, 74836, 61904
4, 2097152, 533213, 500602
8, 512, 269, 207
8, 4096, 5478, 1129
8, 32768, 21796, 8393
8, 262144, 140373, 61886
8, 2097152, 1215437, 530538
12, 512, 334, 192
12, 4096, 2558, 1320
12, 32768, 20719, 8706
12, 262144, 198338, 79856
12, 2097152, 1521626, 536148
16, 512, 467, 218
16, 4096, 3659, 1252
16, 32768, 35930, 10269
16, 262144, 237853, 81856
16, 2097152, 1831362, 595672
