Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 512, 199, 207
4, 4096, 1278, 1015
4, 32768, 10407, 7261
4, 262144, 83811, 62792
4, 2097152, 660021, 505807
8, 512, 288, 204
8, 4096, 3018, 1136
8, 32768, 23253, 8286
8, 262144, 143219, 64846
8, 2097152, 1092254, 523816
12, 512, 478, 223
12, 4096, 2978, 1161
12, 32768, 24426, 8722
12, 262144, 198799, 68883
12, 2097152, 1437109, 530716
16, 512, 439, 209
16, 4096, 4273, 1283
16, 32768, 27135, 9184
16, 262144, 225044, 70797
16, 2097152, 1732079, 611000
