Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 512, 137, 195
4, 4096, 1060, 1027
4, 32768, 9467, 7876
4, 262144, 73132, 62838
4, 2097152, 528274, 482354
8, 512, 215, 190
8, 4096, 1688, 995
8, 32768, 21686, 8076
8, 262144, 115488, 64821
8, 2097152, 1220917, 511639
12, 512, 411, 221
12, 4096, 3297, 1188
12, 32768, 33255, 8807
12, 262144, 216009, 73349
12, 2097152, 1437866, 580697
16, 512, 443, 228
16, 4096, 3436, 1214
16, 32768, 35846, 9621
16, 262144, 222869, 69178
16, 2097152, 1774313, 603885
