Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 512, 107, 196
4, 4096, 1270, 1019
4, 32768, 10967, 7535
4, 262144, 89030, 65300
4, 2097152, 668759, 504380
8, 512, 279, 193
8, 4096, 2377, 1151
8, 32768, 22755, 8238
8, 262144, 130472, 61897
8, 2097152, 987857, 514924
12, 512, 332, 192
12, 4096, 2579, 1127
12, 32768, 21289, 8971
12, 262144, 170910, 63690
12, 2097152, 1319880, 535214
16, 512, 1239, 240
16, 4096, 4426, 1277
16, 32768, 36064, 10384
16, 262144, 262667, 75477
16, 2097152, 1990617, 639620
