Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 512, 164, 177
4, 4096, 1826, 1057
4, 32768, 18930, 7770
4, 262144, 102343, 64689
4, 2097152, 770650, 512934
8, 512, 246, 193
8, 4096, 2683, 1245
8, 32768, 28439, 8544
8, 262144, 158361, 62813
8, 2097152, 1224502, 581313
12, 512, 411, 222
12, 4096, 3888, 1228
12, 32768, 31448, 8907
12, 262144, 197837, 65457
12, 2097152, 1541434, 540104
16, 512, 459, 224
16, 4096, 3678, 1278
16, 32768, 29664, 10186
16, 262144, 238580, 75286
16, 2097152, 1992763, 691491
