Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 512, 110, 188
4, 4096, 793, 988
4, 32768, 12116, 7566
4, 262144, 55355, 60154
4, 2097152, 408323, 480809
8, 512, 273, 187
8, 4096, 2501, 1042
8, 32768, 22881, 8458
8, 262144, 142734, 65308
8, 2097152, 1111709, 551356
12, 512, 393, 217
12, 4096, 3050, 1148
12, 32768, 30616, 8400
12, 262144, 171689, 68316
12, 2097152, 1334943, 563466
16, 512, 514, 224
16, 4096, 4092, 1264
16, 32768, 29810, 8718
16, 262144, 244370, 73288
16, 2097152, 1859529, 599621
