Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 512, 210, 643
4, 4096, 1876, 4594
4, 32768, 17982, 36195
4, 262144, 106060, 288654
4, 2097152, 806084, 2310173
8, 512, 313, 732
8, 4096, 2961, 5318
8, 32768, 22495, 41723
8, 262144, 161875, 332361
8, 2097152, 1250263, 2671408
12, 512, 506, 792
12, 4096, 4281, 6060
12, 32768, 31890, 47033
12, 262144, 215380, 376978
12, 2097152, 1731053, 3039534
16, 512, 531, 871
16, 4096, 8108, 6571
16, 32768, 39027, 52094
16, 262144, 275604, 415995
16, 2097152, 2118713, 3297439
