Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 512, 209, 634
4, 4096, 4113, 4626
4, 32768, 12992, 36199
4, 262144, 108756, 288822
4, 2097152, 822275, 2309793
8, 512, 476, 717
8, 4096, 3227, 5292
8, 32768, 26607, 40890
8, 262144, 159202, 335580
8, 2097152, 1250728, 2648251
12, 512, 507, 796
12, 4096, 3310, 6044
12, 32768, 31912, 46513
12, 262144, 216205, 375150
12, 2097152, 1700766, 3025548
16, 512, 529, 861
16, 4096, 4727, 6669
16, 32768, 35299, 51390
16, 262144, 272053, 408080
16, 2097152, 2120623, 3330629
