Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 512, 204, 637
4, 4096, 2457, 4586
4, 32768, 19861, 36180
4, 262144, 103170, 288843
4, 2097152, 807828, 2310567
8, 512, 313, 693
8, 4096, 2837, 5285
8, 32768, 23429, 41511
8, 262144, 162425, 334213
8, 2097152, 1263904, 2651959
12, 512, 426, 772
12, 4096, 3721, 6040
12, 32768, 29847, 47722
12, 262144, 218306, 377315
12, 2097152, 1689280, 2970526
16, 512, 639, 861
16, 4096, 5049, 6577
16, 32768, 41280, 51741
16, 262144, 270388, 415858
16, 2097152, 2133835, 3305945
