Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 512, 205, 610
4, 4096, 2442, 4624
4, 32768, 19005, 36087
4, 262144, 103540, 288806
4, 2097152, 797655, 2310297
8, 512, 375, 714
8, 4096, 3203, 5277
8, 32768, 22850, 41666
8, 262144, 152855, 331786
8, 2097152, 1240776, 2664461
12, 512, 501, 794
12, 4096, 4431, 5980
12, 32768, 32857, 47383
12, 262144, 212268, 377452
12, 2097152, 1662812, 3000101
16, 512, 528, 877
16, 4096, 8072, 6482
16, 32768, 38975, 51063
16, 262144, 267077, 412651
16, 2097152, 2092564, 3307497
