Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 512, 207, 636
4, 4096, 1697, 4588
4, 32768, 19558, 36194
4, 262144, 116705, 288768
4, 2097152, 830524, 2310551
8, 512, 377, 720
8, 4096, 2474, 5307
8, 32768, 27384, 41551
8, 262144, 164589, 334589
8, 2097152, 1270815, 2664258
12, 512, 422, 796
12, 4096, 3893, 6014
12, 32768, 33538, 47438
12, 262144, 218979, 378719
12, 2097152, 1707435, 3058378
16, 512, 606, 855
16, 4096, 4435, 6636
16, 32768, 35421, 52216
16, 262144, 270720, 411985
16, 2097152, 2146243, 3297833
