Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 512, 208, 197
4, 4096, 1784, 1118
4, 32768, 14250, 8743
4, 262144, 101546, 68799
4, 2097152, 762781, 528683
8, 512, 351, 206
8, 4096, 3091, 1241
8, 32768, 21631, 9107
8, 262144, 156030, 71414
8, 2097152, 1216355, 569817
12, 512, 410, 215
12, 4096, 3718, 1222
12, 32768, 26858, 9138
12, 262144, 211204, 73278
12, 2097152, 1663788, 575308
16, 512, 634, 210
16, 4096, 5162, 1280
16, 32768, 39145, 9526
16, 262144, 275680, 77495
16, 2097152, 2053557, 619305
