Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 512, 196, 203
4, 4096, 1519, 1142
4, 32768, 11978, 8752
4, 262144, 101877, 68788
4, 2097152, 758540, 536865
8, 512, 302, 203
8, 4096, 2726, 1173
8, 32768, 29907, 8949
8, 262144, 156895, 68405
8, 2097152, 1207318, 539690
12, 512, 495, 215
12, 4096, 3247, 1170
12, 32768, 33312, 9163
12, 262144, 212544, 70712
12, 2097152, 1676237, 567659
16, 512, 531, 222
16, 4096, 4138, 1385
16, 32768, 33556, 9026
16, 262144, 270734, 71167
16, 2097152, 2120534, 598368
