Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 512, 256, 201
4, 4096, 1927, 1116
4, 32768, 15177, 8505
4, 262144, 117337, 69529
4, 2097152, 864548, 538605
8, 512, 342, 208
8, 4096, 2813, 1129
8, 32768, 25366, 8794
8, 262144, 162234, 72133
8, 2097152, 1278247, 578186
12, 512, 433, 185
12, 4096, 3325, 1132
12, 32768, 32386, 9190
12, 262144, 219728, 72132
12, 2097152, 1727832, 565013
16, 512, 1113, 213
16, 4096, 4224, 1304
16, 32768, 34668, 9210
16, 262144, 274611, 78781
16, 2097152, 2172754, 638985
