Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 512, 202, 200
4, 4096, 1812, 1122
4, 32768, 19102, 8571
4, 262144, 106546, 66775
4, 2097152, 811725, 529148
8, 512, 869, 208
8, 4096, 2505, 1216
8, 32768, 27913, 8928
8, 262144, 159988, 67490
8, 2097152, 1255906, 593884
12, 512, 424, 218
12, 4096, 4418, 1209
12, 32768, 32520, 9840
12, 262144, 220412, 71684
12, 2097152, 1754038, 606027
16, 512, 538, 226
16, 4096, 4517, 1236
16, 32768, 39885, 9278
16, 262144, 276396, 71084
16, 2097152, 2136208, 619297
