Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 512, 198, 203
4, 4096, 1513, 1115
4, 32768, 20486, 8595
4, 262144, 105657, 68804
4, 2097152, 784930, 537388
8, 512, 310, 202
8, 4096, 2757, 1147
8, 32768, 24554, 8581
8, 262144, 158220, 69858
8, 2097152, 1207088, 555027
12, 512, 525, 209
12, 4096, 3226, 1190
12, 32768, 30995, 9396
12, 262144, 211240, 75210
12, 2097152, 1651509, 597794
16, 512, 535, 224
16, 4096, 4617, 1181
16, 32768, 33351, 10224
16, 262144, 265817, 75899
16, 2097152, 2089822, 572390
