Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 512, 269, 204
4, 4096, 1897, 1143
4, 32768, 14623, 8414
4, 262144, 105886, 66239
4, 2097152, 820257, 521755
8, 512, 316, 209
8, 4096, 2764, 1229
8, 32768, 25072, 8636
8, 262144, 167289, 71102
8, 2097152, 1305929, 556435
12, 512, 421, 213
12, 4096, 3311, 1221
12, 32768, 34068, 9152
12, 262144, 215972, 70693
12, 2097152, 1730213, 575395
16, 512, 652, 235
16, 4096, 4760, 1231
16, 32768, 34674, 9694
16, 262144, 278378, 75436
16, 2097152, 2174062, 609366
