Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 512, 224, 107
4, 4096, 1539, 342
4, 32768, 13610, 2165
4, 262144, 107139, 17015
4, 2097152, 844100, 130936
8, 512, 334, 109
8, 4096, 3188, 357
8, 32768, 21706, 2275
8, 262144, 172383, 17398
8, 2097152, 1318219, 137225
12, 512, 438, 107
12, 4096, 3478, 359
12, 32768, 28639, 2232
12, 262144, 221805, 19153
12, 2097152, 1720098, 147586
16, 512, 658, 117
16, 4096, 4286, 348
16, 32768, 45049, 2384
16, 262144, 269771, 18497
16, 2097152, 2220106, 147150
