Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 512, 202, 108
4, 4096, 1781, 345
4, 32768, 13399, 2129
4, 262144, 97773, 17358
4, 2097152, 784212, 132458
8, 512, 324, 108
8, 4096, 2357, 360
8, 32768, 19680, 2377
8, 262144, 150914, 17902
8, 2097152, 1230355, 139139
12, 512, 411, 99
12, 4096, 3236, 368
12, 32768, 27111, 2371
12, 262144, 213897, 19087
12, 2097152, 1665069, 143082
16, 512, 522, 111
16, 4096, 4544, 361
16, 32768, 33735, 2452
16, 262144, 261988, 19430
16, 2097152, 2098099, 144141
