Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 512, 210, 109
4, 4096, 1824, 341
4, 32768, 13834, 2207
4, 262144, 103327, 17120
4, 2097152, 839428, 139702
8, 512, 318, 108
8, 4096, 2519, 342
8, 32768, 20133, 2285
8, 262144, 164952, 17306
8, 2097152, 1246033, 138970
12, 512, 436, 111
12, 4096, 3361, 362
12, 32768, 27275, 2273
12, 262144, 215482, 18698
12, 2097152, 1723190, 148356
16, 512, 556, 113
16, 4096, 4186, 379
16, 32768, 34794, 2429
16, 262144, 279326, 19878
16, 2097152, 2208868, 152572
