Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 512, 247, 109
4, 4096, 1623, 343
4, 32768, 14332, 2258
4, 262144, 100220, 17296
4, 2097152, 831680, 132047
8, 512, 320, 107
8, 4096, 2797, 339
8, 32768, 21348, 2308
8, 262144, 164405, 16911
8, 2097152, 1314402, 141706
12, 512, 428, 111
12, 4096, 3368, 349
12, 32768, 27072, 2324
12, 262144, 218907, 17721
12, 2097152, 1719346, 138332
16, 512, 532, 117
16, 4096, 4301, 346
16, 32768, 40640, 2489
16, 262144, 276565, 19609
16, 2097152, 2130344, 151344
