Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 512, 199, 107
4, 4096, 1496, 341
4, 32768, 18861, 2289
4, 262144, 95806, 16631
4, 2097152, 772586, 133762
8, 512, 308, 107
8, 4096, 2380, 352
8, 32768, 20409, 2298
8, 262144, 149858, 17226
8, 2097152, 1232849, 140811
12, 512, 419, 112
12, 4096, 3279, 383
12, 32768, 27219, 2344
12, 262144, 207859, 17303
12, 2097152, 1671463, 151481
16, 512, 652, 114
16, 4096, 4164, 369
16, 32768, 34460, 2484
16, 262144, 265460, 19647
16, 2097152, 2100684, 149360
