Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 512, 205, 101
4, 4096, 1625, 342
4, 32768, 13851, 2191
4, 262144, 103247, 17151
4, 2097152, 811109, 137548
8, 512, 320, 105
8, 4096, 2578, 344
8, 32768, 25967, 2171
8, 262144, 161781, 17789
8, 2097152, 1286334, 137754
12, 512, 432, 111
12, 4096, 3434, 361
12, 32768, 27213, 2338
12, 262144, 222175, 18342
12, 2097152, 1716070, 143647
16, 512, 538, 111
16, 4096, 5052, 369
16, 32768, 35710, 2462
16, 262144, 273763, 19313
16, 2097152, 2170918, 157217
