Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 512, 234, 277
4, 4096, 2287, 2045
4, 32768, 15177, 15378
4, 262144, 107188, 113483
4, 2097152, 798479, 966722
8, 512, 378, 295
8, 4096, 3067, 1910
8, 32768, 21880, 15433
8, 262144, 171050, 128129
8, 2097152, 1255305, 1040281
12, 512, 478, 297
12, 4096, 3997, 2446
12, 32768, 33184, 18328
12, 262144, 216818, 147807
12, 2097152, 1717092, 1137082
16, 512, 527, 341
16, 4096, 4930, 2492
16, 32768, 39256, 19989
16, 262144, 267101, 140818
16, 2097152, 2075454, 1056844
