Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 512, 195, 316
4, 4096, 2209, 1980
4, 32768, 19777, 15519
4, 262144, 103525, 118889
4, 2097152, 754139, 973846
8, 512, 306, 335
8, 4096, 6041, 2282
8, 32768, 25709, 17939
8, 262144, 166248, 136342
8, 2097152, 1222916, 1055702
12, 512, 415, 348
12, 4096, 3331, 2447
12, 32768, 31199, 16312
12, 262144, 210803, 131001
12, 2097152, 1672317, 1177707
16, 512, 629, 332
16, 4096, 4877, 2711
16, 32768, 36418, 19185
16, 262144, 266480, 158875
16, 2097152, 2101580, 1203984
