Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 512, 200, 311
4, 4096, 1662, 1868
4, 32768, 19897, 15670
4, 262144, 112978, 123439
4, 2097152, 771216, 943578
8, 512, 303, 296
8, 4096, 3702, 2144
8, 32768, 22573, 16852
8, 262144, 157579, 135834
8, 2097152, 1226982, 1003988
12, 512, 414, 315
12, 4096, 3804, 2152
12, 32768, 28894, 17632
12, 262144, 209493, 157238
12, 2097152, 1662679, 1085932
16, 512, 528, 369
16, 4096, 4815, 2465
16, 32768, 37136, 21103
16, 262144, 266374, 165390
16, 2097152, 2131319, 1146489
