Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 512, 190, 299
4, 4096, 2341, 1966
4, 32768, 19001, 14761
4, 262144, 110493, 115113
4, 2097152, 768125, 1023051
8, 512, 362, 317
8, 4096, 3020, 2050
8, 32768, 22525, 16020
8, 262144, 157021, 136873
8, 2097152, 1219036, 979971
12, 512, 496, 322
12, 4096, 3643, 2253
12, 32768, 32911, 17601
12, 262144, 213735, 145702
12, 2097152, 1664183, 1124876
16, 512, 630, 426
16, 4096, 4435, 2646
16, 32768, 36151, 18439
16, 262144, 263825, 151250
16, 2097152, 2120364, 1174220
