Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 512, 222, 295
4, 4096, 2261, 2077
4, 32768, 18476, 15187
4, 262144, 106026, 126233
4, 2097152, 818119, 995996
8, 512, 305, 308
8, 4096, 2952, 2172
8, 32768, 24767, 16337
8, 262144, 171593, 137895
8, 2097152, 1274807, 1120503
12, 512, 500, 346
12, 4096, 3879, 2416
12, 32768, 33626, 18058
12, 2097152, 1711113, 1067701
16, 512, 635, 367
16, 4096, 4728, 2423
16, 32768, 39309, 20924
16, 262144, 274883, 159324
16, 2097152, 2206105, 1131700
