Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 512, 238, 304
4, 4096, 2188, 1960
4, 32768, 18526, 14463
4, 262144, 117635, 120278
4, 2097152, 815681, 1016187
8, 512, 376, 294
8, 4096, 3445, 1993
8, 32768, 22891, 16893
8, 262144, 157514, 130592
8, 2097152, 1256637, 1040645
12, 512, 503, 331
12, 4096, 3994, 2452
12, 32768, 28775, 16130
12, 262144, 225026, 141015
16, 512, 626, 836
16, 4096, 8737, 2809
16, 32768, 39506, 18497
16, 262144, 282306, 130479
16, 2097152, 2157327, 1185827
