Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 512, 210, 87
4, 4096, 1611, 197
4, 32768, 13862, 1131
4, 262144, 110699, 8592
4, 2097152, 800143, 66419
8, 512, 379, 103
8, 4096, 2454, 213
8, 32768, 19863, 1168
8, 262144, 164944, 8976
8, 2097152, 1280097, 66880
12, 512, 436, 97
12, 4096, 3353, 250
12, 32768, 27526, 1246
12, 262144, 222905, 9284
12, 2097152, 1727766, 69544
16, 512, 658, 98
16, 4096, 4179, 231
16, 32768, 33334, 1247
16, 262144, 279820, 9386
16, 2097152, 2129306, 78149
