Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 512, 240, 97
4, 4096, 1527, 206
4, 32768, 13078, 1139
4, 262144, 110087, 8675
4, 2097152, 817806, 68937
8, 512, 325, 102
8, 4096, 2565, 219
8, 32768, 20279, 1165
8, 262144, 170732, 8971
8, 2097152, 1311720, 68788
12, 512, 537, 102
12, 4096, 3436, 221
12, 32768, 26915, 1286
12, 262144, 232567, 8796
12, 2097152, 1803714, 70090
16, 512, 639, 103
16, 4096, 4237, 224
16, 32768, 34930, 1329
16, 262144, 275526, 9635
16, 2097152, 2156953, 77090
