Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 512, 235, 92
4, 4096, 1821, 204
4, 32768, 14540, 1112
4, 262144, 121339, 8217
4, 2097152, 852351, 69953
8, 512, 311, 90
8, 4096, 2376, 212
8, 32768, 18688, 1159
8, 262144, 155171, 9314
8, 2097152, 1231004, 67510
12, 512, 510, 95
12, 4096, 3537, 223
12, 32768, 27118, 1207
12, 262144, 210641, 8828
12, 2097152, 1654479, 70341
16, 512, 626, 84
16, 4096, 4098, 220
16, 32768, 32861, 1223
16, 262144, 271251, 9760
16, 2097152, 2106605, 73038
