Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 512, 201, 104
4, 4096, 1529, 207
4, 32768, 13008, 1132
4, 262144, 102822, 8221
4, 2097152, 764947, 67185
8, 512, 314, 90
8, 4096, 2447, 212
8, 32768, 22171, 1174
8, 262144, 159003, 9218
8, 2097152, 1243855, 72313
12, 512, 423, 93
12, 4096, 3298, 219
12, 32768, 26034, 1233
12, 262144, 212642, 9212
12, 2097152, 1673293, 74588
16, 512, 539, 94
16, 4096, 4139, 227
16, 32768, 32978, 1334
16, 262144, 270549, 9787
16, 2097152, 2130993, 77700
