Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 512, 209, 94
4, 4096, 1586, 206
4, 32768, 12477, 1135
4, 262144, 102449, 8395
4, 2097152, 816475, 69799
8, 512, 313, 90
8, 4096, 2455, 209
8, 32768, 19467, 1145
8, 262144, 159263, 9036
8, 2097152, 1227853, 72565
12, 512, 512, 91
12, 4096, 3691, 211
12, 32768, 30457, 1237
12, 262144, 220042, 9423
12, 2097152, 1727285, 74364
16, 512, 654, 95
16, 4096, 4459, 215
16, 32768, 33499, 1237
16, 262144, 268275, 9221
16, 2097152, 2146015, 75112
