Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 512, 217, 102
4, 4096, 1591, 205
4, 32768, 12972, 1125
4, 262144, 113247, 8428
4, 2097152, 805753, 69237
8, 512, 321, 98
8, 4096, 2827, 209
8, 32768, 21021, 1204
8, 262144, 167823, 8337
8, 2097152, 1291858, 71026
12, 512, 520, 93
12, 4096, 3424, 214
12, 32768, 26991, 1241
12, 262144, 224742, 8841
12, 2097152, 1728137, 76687
16, 512, 549, 96
16, 4096, 4322, 234
16, 32768, 34101, 1274
16, 262144, 275457, 9127
16, 2097152, 2163726, 75542
