Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 512, 208, 140
4, 4096, 1654, 623
4, 32768, 14222, 4286
4, 262144, 110768, 34651
4, 2097152, 800735, 273581
8, 512, 325, 141
8, 4096, 2512, 640
8, 32768, 21085, 4434
8, 262144, 168268, 34634
8, 2097152, 1249444, 295456
12, 512, 434, 143
12, 4096, 3741, 633
12, 32768, 27865, 4725
12, 262144, 217250, 36566
12, 2097152, 1709988, 296175
16, 512, 539, 144
16, 4096, 4269, 638
16, 32768, 34672, 4737
16, 262144, 276531, 37368
16, 2097152, 2141559, 310926
