Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 512, 232, 142
4, 4096, 1809, 596
4, 32768, 13289, 4307
4, 262144, 102884, 34530
4, 2097152, 765050, 279463
8, 512, 307, 141
8, 4096, 2389, 596
8, 32768, 19936, 4481
8, 262144, 158237, 35597
8, 2097152, 1213900, 270545
12, 512, 412, 138
12, 4096, 3247, 608
12, 32768, 27301, 4446
12, 262144, 214757, 35110
12, 2097152, 1655137, 297608
16, 512, 525, 150
16, 4096, 4093, 669
16, 32768, 33535, 4918
16, 262144, 266521, 35050
16, 2097152, 2097449, 285045
