Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 512, 206, 141
4, 4096, 1843, 613
4, 32768, 13597, 4485
4, 262144, 106963, 33875
4, 2097152, 830073, 269230
8, 512, 387, 131
8, 4096, 2470, 627
8, 32768, 21246, 4402
8, 262144, 163676, 33484
8, 2097152, 1263442, 271656
12, 512, 522, 143
12, 4096, 3486, 635
12, 32768, 27520, 4558
12, 262144, 226808, 35608
12, 2097152, 1720213, 285635
16, 512, 540, 153
16, 4096, 5052, 641
16, 32768, 34651, 5096
16, 262144, 273564, 38741
16, 2097152, 2169506, 301432
