Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 512, 251, 138
4, 4096, 1923, 612
4, 32768, 16034, 4286
4, 262144, 127818, 33831
4, 2097152, 972813, 267178
8, 512, 380, 140
8, 4096, 3385, 622
8, 32768, 24116, 4694
8, 262144, 193038, 35232
8, 2097152, 1354454, 286205
12, 512, 427, 141
12, 4096, 3392, 656
12, 32768, 27821, 4231
12, 262144, 218893, 37574
12, 2097152, 1706536, 277274
16, 512, 535, 128
16, 4096, 4329, 656
16, 32768, 34276, 4640
16, 262144, 276510, 36213
16, 2097152, 2194512, 280717
