Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 512, 212, 139
4, 4096, 1606, 614
4, 32768, 14274, 4291
4, 262144, 107676, 34261
4, 2097152, 841050, 281827
8, 512, 318, 142
8, 4096, 2491, 637
8, 32768, 20233, 4447
8, 262144, 167249, 33927
8, 2097152, 1278105, 273860
12, 512, 425, 117
12, 4096, 3338, 602
12, 32768, 27971, 4634
12, 262144, 218021, 35498
12, 2097152, 1698345, 282405
16, 512, 545, 107
16, 4096, 4374, 634
16, 32768, 35029, 4628
16, 262144, 272005, 36701
16, 2097152, 2203066, 316974
