4,512,[2.217742  2.5234451],[2.217742  2.5234451],[2.2177422 2.523445 ]
4,512,[2.1294453 1.701741 ],[2.1294453 1.701741 ],[2.129445  1.7017409]
4,512,[1.700456   0.47233075],[1.700456   0.47233075],[1.7004559 0.4723308]
4,512,[0.9614206 1.9381311],[0.9614206 1.9381311],[0.96142083 1.938131  ]
4,1024,[2.2268798 2.578247 ],[2.2268798 2.578247 ],[2.2268794 2.578247 ]
4,1024,[2.1587477 1.7011017],[2.1587477 1.7011017],[2.1579378 1.7005236]
4,1024,[1.7110068 0.4843111],[1.7110068 0.4843111],[1.7078736  0.48466128]
4,1024,[1.0103073 1.9532588],[1.0103073 1.9532588],[1.0103071 1.9532586]
4,2048,[2.1672785 2.6540124],[2.1672785 2.6540124],[2.2580948 2.6330657]
4,2048,[2.1887958 1.7634964],[2.1887958 1.7634964],[2.1391466 1.7303873]
4,2048,[1.7028092  0.48835224],[1.7028092  0.48835224],[1.7016448  0.47126526]
4,2048,[1.0191116 1.8980192],[1.0191116 1.8980192],[1.0092161 1.9545691]
4,4096,[2.2823546 2.4609199],[2.2823546 2.4609199],[2.2642205 2.6074576]
4,4096,[2.1276724 1.6085348],[2.1276724 1.6085348],[2.159836  1.7061428]
4,4096,[1.6793511  0.46399888],[1.6793511  0.46399888],[1.7102075 0.48074  ]
4,4096,[1.0393033 1.9568151],[1.0393033 1.9568151],[1.0201764 1.9417598]
4,8192,[2.2156672 2.5996158],[2.2156672 2.5996158],[2.2642388 2.57518  ]
4,8192,[2.141032  1.6840252],[2.141032  1.6840252],[2.1600978 1.685128 ]
4,8192,[1.7064408  0.45808366],[1.7064408  0.45808366],[1.7112325  0.47149998]
4,8192,[0.96101993 1.9679903 ],[0.96101993 1.9679903 ],[1.0139441 1.9622947]
4,16384,[2.265182  2.6310058],[2.265182  2.6310058],[2.260325  2.5719588]
4,16384,[2.2337363 1.7414757],[2.2337363 1.7414757],[2.1477346 1.6857705]
4,16384,[1.7376713  0.49621338],[1.7376713  0.49621338],[1.7074455 0.4651435]
4,16384,[1.0244403 1.9764657],[1.0244403 1.9764657],[1.0132539 1.9603806]
4,32768,[2.1549144 2.5183332],[2.1549144 2.5183332],[2.2510107 2.5763955]
4,32768,[2.1648328 1.6905993],[2.1648328 1.6905993],[2.157088  1.6922472]
4,32768,[1.7138724 0.4369873],[1.7138724 0.4369873],[1.7120254  0.46165687]
4,32768,[0.97012687 1.8919877 ],[0.97012687 1.8919877 ],[1.0172536 1.9552963]
4,65536,[2.2517412 2.4380484],[2.2517412 2.4380484],[2.2515357 2.5682383]
4,65536,[2.1491697 1.6455628],[2.1491697 1.6455628],[2.1491444 1.6873844]
4,65536,[1.7257347  0.45917556],[1.7257347  0.45917556],[1.709546   0.46136528]
4,65536,[0.98763275 1.907981  ],[0.98763275 1.907981  ],[1.0153799 1.9603088]
8,512,[2.1644273 2.8025079],[2.1644273 2.8025079],[2.1644268 2.8025079]
8,512,[2.429738 2.047629],[2.429738 2.047629],[2.4297383 2.0476294]
8,512,[1.397091  0.5386942],[1.397091  0.5386942],[1.397091  0.5386943]
8,512,[0.7944812 1.5624398],[0.7944812 1.5624398],[0.7944812 1.5624399]
8,512,[1.1554214 2.255298 ],[1.1554214 2.255298 ],[1.1554213 2.2552977]
8,512,[1.9401501 1.7459298],[1.9401501 1.7459298],[1.9401499 1.74593  ]
8,512,[1.8910488  0.24758735],[1.8910488  0.24758735],[1.8910488 0.2475872]
8,512,[2.1265652 0.9712349],[2.1265652 0.9712349],[2.1265655  0.97123516]
8,1024,[2.2093935 2.789413 ],[2.2093935 2.789413 ],[2.2093937 2.7894135]
