num_clusters,num_points,faiss_time_cpu,faiss_time_gpu,sklearn_time,num_clusters,num_points,sw_time,hw_time
12,512,330793.58099999465,156340.9770000135,26130.80900002274,12,512,734.0,114.5
12,1024,195793.8380000144,4074.840000015456,38970.69499998906,12,1024,892.5,99.0
12,2048,135003.36100000254,4515.033999979323,49370.65400000051,12,2048,1634.5,136.0
12,4096,156026.32799999582,8532.830999996577,60611.33500000437,12,4096,3275.5,207.5
12,8192,102638.38800000258,5911.048999990953,54786.04199998926,12,8192,6575.5,346.0
12,16384,168104.440999997,6522.372000006271,49138.05999998999,12,16384,13030.0,632.0
12,32768,181835.0320000093,6203.218999985438,59230.42200001305,12,32768,26425.5,1206.0
12,65536,141945.36400000856,8958.459999973911,76110.59900000328,12,65536,52954.5,2335.0
