num_clusters,num_points,faiss_time_cpu,faiss_time_gpu,sklearn_time,num_clusters,num_points,sw_time,hw_time
32,512,40329.56499997909,5074.730999979238,23969.426999997268,32,512,980.0,87.0
32,1024,23756.42100000164,9825.62799998732,22663.66699998912,32,1024,1941.5,106.0
32,2048,26473.65200002128,6129.718000011053,48816.28500001512,32,2048,3866.0,149.5
32,4096,118245.7310000018,5526.710999987472,55041.83799999396,32,4096,7709.5,252.5
32,8192,166040.28099999367,54092.12700001831,48983.00100001052,32,8192,15342.5,429.0
32,16384,72377.59500000607,11614.489000010051,45416.73600002127,32,16384,30524.0,752.5
32,32768,91071.16199999154,9127.214000017148,87798.84300000162,32,32768,60975.5,1455.5
32,65536,76115.55500000122,175282.1249999954,98464.263000011,32,65536,124510.0,2833.5
