num_clusters,num_points,faiss_time_cpu,faiss_time_gpu,sklearn_time,num_clusters,num_points,sw_time,hw_time
16,512,144637.79100000806,2396.5309999880446,30444.00600001041,16,512,675.0,82.0
16,1024,53373.4600000173,54611.8139999976,26534.043999987487,16,1024,1038.5,100.5
16,2048,46898.93099998699,3654.9790000037774,62478.97800000146,16,2048,2086.5,141.5
16,4096,111980.57199999312,6746.695000003911,66447.09299999363,16,4096,4131.5,215.0
16,8192,93209.60299999116,7826.749000003019,54370.433999991976,16,8192,8228.5,363.5
16,16384,147784.01699999222,8534.734000022581,80520.33300000972,16,16384,16456.5,657.5
16,32768,328179.09999999986,34235.32900001192,163591.10500002315,16,32768,33416.0,1253.0
16,65536,278029.2470000063,10318.317999974624,82688.50100000692,16,65536,68333.5,2420.0
