Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 512, 196, 94
4, 1024, 385, 107
4, 2048, 760, 139
4, 4096, 1528, 208
4, 8192, 3047, 342
4, 16384, 6074, 612
4, 32768, 12138, 1151
4, 65536, 27055, 2235
8, 512, 312, 102
8, 1024, 612, 109
8, 2048, 1211, 143
8, 4096, 2394, 217
8, 8192, 4782, 365
8, 16384, 9594, 625
8, 32768, 19211, 1196
8, 65536, 38726, 2320
12, 512, 422, 93
12, 1024, 965, 112
12, 2048, 1644, 146
12, 4096, 3301, 218
12, 8192, 6581, 351
12, 16384, 13169, 647
12, 32768, 27107, 1217
12, 65536, 53283, 2345
16, 512, 826, 92
16, 1024, 1046, 112
16, 2048, 2117, 153
16, 4096, 4160, 226
16, 8192, 8282, 376
16, 16384, 16569, 672
16, 32768, 34281, 1264
16, 65536, 66839, 2434
32, 512, 986, 99
32, 1024, 1955, 121
32, 2048, 3880, 165
32, 4096, 7790, 264
32, 8192, 15488, 440
32, 16384, 30724, 757
32, 32768, 61379, 1466
32, 65536, 127666, 2845
