Number of clusters, Number of points, Software time (us), Hardware time (us)
4, 512, 193, 659
4, 4096, 2187, 4797
4, 32768, 19043, 37977
4, 262144, 102577, 303554
4, 2097152, 748972, 2428079
8, 512, 303, 736
8, 4096, 2478, 6480
8, 32768, 25711, 43164
8, 262144, 149547, 344811
8, 2097152, 1138349, 2776860
12, 512, 411, 853
12, 4096, 3816, 6137
12, 32768, 30792, 48857
12, 262144, 197408, 390615
12, 2097152, 1572762, 3209344
16, 512, 530, 877
16, 4096, 4918, 6588
16, 32768, 36882, 52487
16, 262144, 245409, 419540
16, 2097152, 1929075, 3418697
